region.code,date,hour,pred
FRANCE,2017-07-12,00:00,45220
FRANCE,2017-07-12,00:15,43879
FRANCE,2017-07-12,00:30,43922
FRANCE,2017-07-12,00:45,43110
FRANCE,2017-07-12,1:00,42737
FRANCE,2017-07-12,1:15,42287
FRANCE,2017-07-12,1:30,42401
FRANCE,2017-07-12,1:45,42447
FRANCE,2017-07-12,2:00,41565
FRANCE,2017-07-12,2:15,41617
FRANCE,2017-07-12,2:30,42130
FRANCE,2017-07-12,2:45,41164
FRANCE,2017-07-12,3:00,39087
FRANCE,2017-07-12,3:15,39044
FRANCE,2017-07-12,3:30,39106
FRANCE,2017-07-12,3:45,39168
FRANCE,2017-07-12,4:00,37810
FRANCE,2017-07-12,4:15,37861
FRANCE,2017-07-12,4:30,38814
FRANCE,2017-07-12,4:45,38992
FRANCE,2017-07-12,5:00,39132
FRANCE,2017-07-12,5:15,39185
FRANCE,2017-07-12,5:30,39720
FRANCE,2017-07-12,5:45,40031
FRANCE,2017-07-12,6:00,40222
FRANCE,2017-07-12,6:15,40648
FRANCE,2017-07-12,6:30,41956
FRANCE,2017-07-12,6:45,41008
FRANCE,2017-07-12,7:00,47487
FRANCE,2017-07-12,7:15,48802
FRANCE,2017-07-12,7:30,48986
FRANCE,2017-07-12,7:45,44991
FRANCE,2017-07-12,8:00,50145
FRANCE,2017-07-12,8:15,50113
FRANCE,2017-07-12,8:30,47398
FRANCE,2017-07-12,8:45,51307
FRANCE,2017-07-12,9:00,51465
FRANCE,2017-07-12,9:15,51541
FRANCE,2017-07-12,9:30,51818
FRANCE,2017-07-12,9:45,52312
FRANCE,2017-07-12,10:00,52256
FRANCE,2017-07-12,10:15,52953
FRANCE,2017-07-12,10:30,53407
FRANCE,2017-07-12,10:45,53479
FRANCE,2017-07-12,11:00,53700
FRANCE,2017-07-12,11:15,53359
FRANCE,2017-07-12,11:30,53426
FRANCE,2017-07-12,11:45,53262
FRANCE,2017-07-12,12:00,53667
FRANCE,2017-07-12,12:15,54223
FRANCE,2017-07-12,12:30,54284
FRANCE,2017-07-12,12:45,53369
FRANCE,2017-07-12,13:00,53124
FRANCE,2017-07-12,13:15,53184
FRANCE,2017-07-12,13:30,53243
FRANCE,2017-07-12,13:45,53303
FRANCE,2017-07-12,14:00,50903
FRANCE,2017-07-12,14:15,50956
FRANCE,2017-07-12,14:30,51008
FRANCE,2017-07-12,14:45,51061
FRANCE,2017-07-12,15:00,50952
FRANCE,2017-07-12,15:15,50999
FRANCE,2017-07-12,15:30,51045
FRANCE,2017-07-12,15:45,51091
FRANCE,2017-07-12,16:00,48832
FRANCE,2017-07-12,16:15,50202
FRANCE,2017-07-12,16:30,50550
FRANCE,2017-07-12,16:45,50175
FRANCE,2017-07-12,17:00,48911
FRANCE,2017-07-12,17:15,49207
FRANCE,2017-07-12,17:30,49018
FRANCE,2017-07-12,17:45,49002
FRANCE,2017-07-12,18:00,50688
FRANCE,2017-07-12,18:15,49090
FRANCE,2017-07-12,18:30,48787
FRANCE,2017-07-12,18:45,50192
FRANCE,2017-07-12,19:00,48824
FRANCE,2017-07-12,19:15,51097
FRANCE,2017-07-12,19:30,49903
FRANCE,2017-07-12,19:45,49906
FRANCE,2017-07-12,20:00,48381
FRANCE,2017-07-12,20:15,48252
FRANCE,2017-07-12,20:30,47683
FRANCE,2017-07-12,20:45,49078
FRANCE,2017-07-12,21:00,47680
FRANCE,2017-07-12,21:15,47324
FRANCE,2017-07-12,21:30,47888
FRANCE,2017-07-12,21:45,47262
FRANCE,2017-07-12,22:00,48840
FRANCE,2017-07-12,22:15,50751
FRANCE,2017-07-12,22:30,50793
FRANCE,2017-07-12,22:45,51071
FRANCE,2017-07-12,23:00,50394
FRANCE,2017-07-12,23:15,49804
FRANCE,2017-07-12,23:30,50140
FRANCE,2017-07-12,23:45,50541
